SN1986G 256 182.82306008891533 75.69307765293168 489.01393269154437 121.80184970305848 0.03241459460565206 6800 7160 7300 7550 7700 7800 21
SN1990N 227 54.33653025489311 639.5576527862736 221.4166225321846 883.4579923805308 0.020732645074686282 6850 7140 7300 7505 7680 7900 31
SN1990N 280 50.440562366387816 184.71741767720485 232.87677668992663 302.68384110002245 0.01812717231704622 6860 7150 7260 7680 7680 7807 71
SN1990N 305 144.7684761084669 514.5283462803127 304.2031735913901 985.1243393858622 0.026738386134255596 6855 7171 7289 7530 7650 7800 31
SN1998bu 237 170.49823335892432 125.07911659039573 166.48791906382252 223.12374079311274 0.027704177513638746 6800 7300 7300 7500 7500 7631 31 20.0
SN1998bu 281 68.00668756779274 97.74769115004834 232.30601927242492 350.0545080928848 0.025353676797067785 6880 7300 7300 7500 7500 7631 31 30.0
SN1999aa 258 29.573219964259632 122.35891716865903 657.3654379110629 533.1052075902492 0.004545012174431543 6800 7325 7335 7560 7700 7745 11 20.0
SN2002er 213 87.02998513455593 520.6025159681542 1755.5445542186571 505.6019861277242 0.16247966183929122 6956 7210 7330 7510 7710 7780 41 20.0
SN2002bo 311 193.29214962970832 239.8111821350678 1968.9859551489358 955.3721805103836 0.700477557744779 6935 7300 7300 7565 7695 7756 41 20.0
SN2003cg 384 186.02597267014661 179.1183872820496 201.38512818064854 283.0563089627782 0.047100531232744054 6900 7250 7330 7500 7500 7700 61 20.0
SN2003du 219 116.16397204303115 340.5985198525885 433.840595747175 868.9140920153131 0.03593097544041823 6860 7191 7300 7511 7672 7750 21 20.0
SN2003du 375 53.37396461915942 236.36303135114386 241.1124863860825 239.57522314196717 0.026506793878369638 6910 7140 7330 7630 7730 7764 31 10.0
SN2003gs 207 205.84629206285857 175.76616233610156 345.3076782489506 287.5691830924645 0.043974509359314275 6879 7200 7300 7565 7700 7803 31 20.0
SN2003hv 319 53.16476915893781 53.25279610843445 292.9861395073621 493.9739405585142 0.014469787508975773 6798 7140 7230 7500 7800 7906 31 20.0
SN2003kf 400 163.56996319511063 685.6819642218657 1266.9841896378666 1738.2805324677524 0.04307545606270445 6850 7300 7300 7600 7710 7740 21 10.0
SN2004eo 227 90.21738507549074 315.21879049354425 335.43935971164524 649.0240091648417 0.08282552082901304 6828 7285 7285 7453 7560 7650 41 20.0
SN2005cf 317 711.7913482705374 1575.7702033288135 1718.143906597449 958.8500951663782 0.09077701734727625 6930 7160 7340 7500 7500 7598 101 110.0
SN2006X 276 47.38012648724819 85.65178486701593 385.23587278584273 132.92889900705023 0.039584427923670056 6880 7300 7300 7580 7760 7850 11 30.0
SN2006X 359 36.30213548046405 41.01400623584175 158.1244026446247 62.765667151147326 0.014513140002134375 6900 7300 7300 7600 7730 7780 21 20.0
SN2007af 303 22.650978005330384 237.22052867034833 400.2006997671245 524.678966981438 0.046160852888878584 6904 7300 7300 7520 7777 7832 21 20.0
SN2007le 306 16.723533689266937 73.17024972292552 185.75253113058278 144.57870430846725 0.017484632966152838 6888 7300 7300 7570 7730 7856 11 20.0
SN2008Q 200 186.21518229406016 99.73635590900597 777.753497753091 52.861285439307245 0.06817483364457311 6870 7300 7300 7400 7400 7600 11 30.0
SN2011by 207 58.66899125566602 109.16996745815442 410.1063833931086 107.5386381868217 0.018980087344640694 6829 7190 7300 7500 7500 7700 11 30.0
SN2011by 311 17.56617089172925 72.19847575671533 218.21975947245025 75.5755301143229 0.017835604129214422 6800 7300 7300 7500 7500 7780 21 30.0
SN2011fe 203 40.296255016810335 88.8201724435057 311.0937086812259 137.4684934290466 0.013552839763422522 6855 7215 7310 7500 7500 7690 11 30.0
SN2011fe 224 83.30308572962032 186.8994664647762 413.1117596504889 493.0224523906407 0.027605227901535773 6850 7190 7310 7500 7500 7700 11 30.0
SN2011fe 309 159.2505127177306 167.78763827631286 334.01781361040656 420.81705761794547 0.04333435375731027 6810 7177 7253 7500 7500 7800 11 20.0
SN2011fe 345 123.17614147644055 135.43453971057855 273.9193018155169 260.6770060744595 0.039222778577443614 6806 7204 7282 7550 7550 7814 11 20.0
SN2011fe 378 100.59285101971334 151.58157484195854 287.44208651197573 214.66168756219662 0.03607788310666515 6799 7300 7300 7530 7530 7811 21 20.0
SN2012cg 286 29.60394936664153 322.8275277791726 427.0050848466947 177.46241060600218 0.02337581846615999 6880 7300 7300 7570 7700 7800 21 20.0
SN2012cg 342 66.6490034682714 85.27747301088748 129.33337319314077 266.9108098235242 0.016820390712133853 6793 7178 7239 7500 7500 7737 11 10.0
SN2012fr 222 59.01721640794201 179.08705071110188 680.8894783807888 562.6659161290994 0.05210061567401986 6950 7300 7300 7550 7600 7700 11 30.0
SN2012fr 261 51.94420618689643 315.9333720234583 878.6123574134866 610.9774266112471 0.02074609539396593 6937 7300 7300 7710 7710 7753 21 30.0
SN2012fr 340 30.964920364169814 68.94016289864032 228.1178409837264 265.0837505767415 0.01393274303809335 6895 7300 7300 7540 7680 7750 11 30.0
SN2012fr 367 131.24975642645106 165.00610579682674 886.7229235766349 518.1189173387492 0.012265416573078126 6900 7300 7300 7500 7500 7825 21 50.0
SN2012hr 284 108.96913473396847 594.8873583513938 469.78562341027117 731.6649895877865 0.02382129098217223 6774 7190 7190 7650 7650 7750 31 30.0
SN2013aa 400 31.166825262487297 130.74266145829344 219.44583311147747 168.22635144852492 0.01861751589361506 6820 7300 7300 7500 7500 7900 11 50.0
SN2013cs 261 84.4682772860879 237.06442807351945 402.12387852461893 445.13851688211275 0.02518347236852431 6945 7300 7300 7500 7500 7754 21 40.0
SN2013cs 303 38.74860413870483 426.74046773317775 654.0043475154837 503.30241269898585 0.03833407416219629 6865 7300 7300 7500 7500 7850 11 40.0
SN2013dy 333 29.055084132654724 234.35246074570824 370.63844053032943 303.42546142949004 0.01923995620835273 6800 7300 7300 7500 7500 7803 31 50.0
SN2013gy 275 44.38609207524956 371.6562909271861 598.3727985199083 463.6028154512509 0.04865632028989145 6811 7300 7300 7500 7500 7748 61 30.0
SN2014J 263 26.073584996292656 370.05170413196765 498.90557357760804 689.0831580023927 0.05938626940067591 6850 7300 7300 7500 7500 7665 31 50.0
SN2014J 303 51.34086663039479 310.44927331968483 365.1747591289769 447.1498224066281 0.04727573572928862 6850 7300 7300 7500 7500 7700 31 50.0
SN2014J 349 125.9630651195555 267.9907264567943 642.8424415451777 836.0160278203141 0.0742062358242509 6800 7300 7300 7580 7700 7802 61 40.0
